anchor_index,anchor_t,mape,max_abs_rel,L_cv
13,59.34704400260235,5.685488887572763e-07,1.680139281170713e-06,7.860825279037483e-07
34,111.02953554316969,7.098431982911507e-07,1.4738844497462483e-06,8.905116089116375e-07
19,75.70469069908393,7.570707792899203e-07,1.4104808674169908e-06,9.362286956060623e-07
38,118.790782865976,7.869115700550393e-07,2.1347969025662363e-06,9.575510294246732e-07
37,116.22668032085755,8.764606290632114e-07,2.085407486019146e-06,1.1332583192818052e-06
39,121.37012500242065,1.079362975829848e-06,2.7780829930311528e-06,1.2157669325113305e-06
36,114.32022091545272,1.1193260308928977e-06,2.9664010063711852e-06,1.315824662469142e-06
20,77.1448400688748,1.2672786298399763e-06,2.920775158536323e-06,1.2232772293774966e-06
33,107.1686111842764,1.3819747380440384e-06,4.0122962328878764e-06,1.860715477082618e-06
8,43.32707328091499,1.8240628319539634e-06,4.368155887215184e-06,1.8545525833077517e-06
